-49.16666667,-63.33333333,-39.16666667,1408.333333
-45.83333333,-60.83333333,-40,-82.5
-38.33333333,-64.16666667,-47.5,353.3333333
-41.66666667,-53.33333333,-48.33333333,102.5
-40,-55,-43.33333333,1725
-45.83333333,-51.66666667,-44.16666667,349.1666667
-45,-65.83333333,-43.33333333,
-43.33333333,-67.5,-47.5,
-48.33333333,-60.83333333,-43.33333333,
-40,-60.83333333,-47.5,
-50,-62.5,-41.66666667,
-50,-54.16666667,-46.66666667,
-45.83333333,-56.66666667,-39.16666667,
-54.16666667,-63.33333333,-45.83333333,
-46.66666667,-61.66666667,-48.33333333,
-45.83333333,-60.83333333,-43.33333333,
-45,-63.33333333,-39.16666667,
-43.33333333,-55.83333333,-42.5,
-47.5,-53.33333333,-43.33333333,
-55.83333333,-55.83333333,-53.33333333,
-45.83333333,-51.66666667,-40.83333333,